wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 4WEEK, 50C 0_MeOH 1WEEK, 50C 10_MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20_MeOH 4WEEK, 80C 0_ MeOH 4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 4WEEK, 80C 10_MeOH 1WEEK, 80C 20_MeOH 1WEEK, 80C 20_MeOH 4WEEK
777.1721,0.2155848,0.2144146,0.2168393,0.2148695,0.2189237,0.2152,0.2159864,0.2148933,0.2144978,0.2159883,0.215315,0.2153582,0.2145201
779.1006,0.2124795,0.2121635,0.2139385,0.2126776,0.2155079,0.2128548,0.2133761,0.212222,0.2122062,0.2130363,0.2129897,0.2116059,0.2119969
781.0291,0.2094366,0.2103457,0.211048,0.210163,0.2115014,0.2103475,0.2109122,0.209614,0.2087381,0.2101373,0.2111333,0.208824,0.210118
782.9575,0.2070468,0.2076466,0.2078929,0.2075661,0.2093702,0.2075117,0.2078148,0.2063753,0.2051831,0.2074587,0.2086601,0.2062153,0.2077102
784.886,0.2048822,0.2045451,0.2047897,0.2055361,0.2079682,0.2047028,0.2045572,0.2033966,0.2029525,0.2045802,0.2051279,0.2029822,0.2048926
786.8145,0.2017991,0.2016586,0.2012856,0.2018411,0.2040319,0.2013255,0.202099,0.2010746,0.20097,0.2020728,0.2019848,0.2001253,0.2014355
788.7429,0.198974,0.1988024,0.1983278,0.198201,0.1996132,0.1981398,0.199969,0.1982158,0.1977169,0.199113,0.1994253,0.1978091,0.1981742
790.6714,0.1964487,0.1957831,0.1959198,0.1951679,0.1974044,0.1957455,0.1965089,0.1951252,0.1937118,0.1959305,0.1965574,0.1949946,0.1953964
792.5999,0.1933039,0.1930876,0.1932963,0.1921854,0.1948232,0.1930773,0.1928574,0.19189,0.1916883,0.1937037,0.1934435,0.1917818,0.19342
794.5283,0.1898915,0.1902772,0.190557,0.1902764,0.1927032,0.1902249,0.1894708,0.1894705,0.1897458,0.1909081,0.1910348,0.1890212,0.1901149
796.4568,0.1865258,0.1866355,0.1866243,0.1871401,0.1896206,0.1863313,0.1862575,0.1873053,0.186295,0.1870481,0.1883549,0.1867587,0.186941
